datetime;JUNG;JUNG1;DRBS;KIEL2
2019-04-07 01:00:00;167.260;392.390;114.013;189.810
2019-04-07 02:00:00;167.717;391.816;113.883;190.017
2019-04-07 03:00:00;167.894;393.177;113.839;189.855
2019-04-07 04:00:00;167.780;393.352;113.920;189.715
2019-04-07 05:00:00;167.315;392.085;113.694;189.440
2019-04-07 06:00:00;168.593;393.028;113.495;189.408
2019-04-07 07:00:00;168.441;392.307;113.486;189.842
2019-04-07 08:00:00;167.755;393.502;113.434;189.850
2019-04-07 09:00:00;168.880;393.210;114.056;189.753
2019-04-07 10:00:00;168.026;394.012;114.064;189.770
2019-04-07 11:00:00;168.070;393.072;114.119;189.837
2019-04-07 12:00:00;168.179;392.357;112.758;190.068
2019-04-07 13:00:00;167.265;391.706;113.615;189.469
2019-04-07 14:00:00;167.776;391.745;113.601;189.145
2019-04-07 15:00:00;167.323;390.014;113.620;188.974
2019-04-07 16:00:00;167.218;391.736;9475.283;188.708
2019-04-07 17:00:00;167.249;392.001;   null;188.759
2019-04-07 18:00:00;168.013;391.645;   null;189.019
2019-04-07 19:00:00;167.926;392.913;   null;189.199
2019-04-07 20:00:00;168.039;392.202;   null;189.349
2019-04-07 21:00:00;168.397;393.015;   null;189.308
2019-04-07 22:00:00;168.039;393.465;   null;189.535
2019-04-07 23:00:00;168.681;393.676;   null;190.159
2019-04-08 00:00:00;169.266;394.503;   null;190.141
2019-04-08 01:00:00;168.414;393.083;   null;189.927
2019-04-08 02:00:00;167.949;392.867;   null;189.769
2019-04-08 03:00:00;167.705;392.530;   null;189.838
2019-04-08 04:00:00;168.074;392.924;   null;189.816
2019-04-08 05:00:00;167.637;392.093;   null;189.646
2019-04-08 06:00:00;167.787;390.963;   null;189.752
2019-04-08 07:00:00;167.974;391.735;   null;189.422
2019-04-08 08:00:00;167.814;391.588;115.972;189.595
2019-04-08 09:00:00;168.010;392.403;113.799;189.354
2019-04-08 10:00:00;167.624;392.504;113.915;189.162
2019-04-08 11:00:00;168.078;392.773;113.669;189.943
2019-04-08 12:00:00;167.991;392.628;113.440;189.785
2019-04-08 13:00:00;168.261;394.323;113.856;190.161
2019-04-08 14:00:00;168.288;394.300;114.138;190.458
2019-04-08 15:00:00;168.644;393.748;114.129;189.856
2019-04-08 16:00:00;168.459;395.187;113.629;190.422
2019-04-08 17:00:00;169.336;395.321;113.882;190.592
2019-04-08 18:00:00;168.563;394.441;114.278;189.960
2019-04-08 19:00:00;169.060;394.479;114.033;190.515
2019-04-08 20:00:00;169.055;394.919;114.210;190.416
2019-04-08 21:00:00;168.638;394.729;114.021;190.497
2019-04-08 22:00:00;168.233;393.721;114.199;190.272
2019-04-08 23:00:00;167.433;394.082;113.738;190.189
2019-04-09 00:00:00;167.476;393.597;113.907;189.915
2019-04-09 01:00:00;167.686;394.014;113.989;190.176
2019-04-09 02:00:00;167.300;393.404;113.665;189.870
2019-04-09 03:00:00;167.987;392.700;113.714;189.971
2019-04-09 04:00:00;167.639;393.328;113.417;189.836
2019-04-09 05:00:00;168.467;394.169;113.796;190.010
2019-04-09 06:00:00;168.204;393.207;113.801;189.964
2019-04-09 07:00:00;168.062;393.224;113.713;189.996
2019-04-09 08:00:00;168.269;394.592;113.859;190.159
2019-04-09 09:00:00;168.349;392.899;114.400;189.734
2019-04-09 10:00:00;168.009;393.236;114.148;190.504
2019-04-09 11:00:00;167.749;391.841;113.583;189.928
2019-04-09 12:00:00;167.851;392.789;114.061;189.884
2019-04-09 13:00:00;166.963;390.714;113.478;189.740
2019-04-09 14:00:00;167.544;390.937;113.299;189.028
2019-04-09 15:00:00;167.944;393.386;113.389;189.494
2019-04-09 16:00:00;167.854;391.459;113.591;189.715
2019-04-09 17:00:00;167.642;391.495;113.151;189.286
2019-04-09 18:00:00;167.387;391.100;112.978;188.719
2019-04-09 19:00:00;166.601;390.935;113.118;188.289
2019-04-09 20:00:00;166.066;392.172;112.934;188.392
2019-04-09 21:00:00;167.184;391.762;113.586;189.611
2019-04-09 22:00:00;167.075;391.643;112.703;188.814
2019-04-09 23:00:00;167.514;392.560;113.436;189.491
2019-04-10 00:00:00;167.218;393.122;113.109;189.940
2019-04-10 01:00:00;168.121;392.447;113.213;189.337
2019-04-10 02:00:00;168.688;393.687;113.834;190.930
2019-04-10 03:00:00;168.576;394.100;113.987;190.536
2019-04-10 04:00:00;169.097;393.646;113.580;189.544
2019-04-10 05:00:00;168.612;393.922;113.342;189.776
2019-04-10 06:00:00;168.781;395.134;113.652;189.037
2019-04-10 07:00:00;168.263;394.585;113.764;190.704
2019-04-10 08:00:00;168.775;393.826;113.734;189.762
2019-04-10 09:00:00;168.525;394.935;113.717;190.035
2019-04-10 10:00:00;168.206;394.087;114.237;189.265
2019-04-10 11:00:00;168.632;393.004;113.636;189.479
2019-04-10 12:00:00;168.178;392.619;113.716;188.981
2019-04-10 13:00:00;168.019;393.362;113.884;190.016
2019-04-10 14:00:00;168.363;392.791;113.850;190.322
2019-04-10 15:00:00;168.427;393.331;114.004;188.721
2019-04-10 16:00:00;167.639;392.914;114.112;188.972
2019-04-10 17:00:00;167.935;393.578;113.584;189.365
2019-04-10 18:00:00;167.728;394.104;113.874;189.546
2019-04-10 19:00:00;168.143;393.340;113.397;188.789
2019-04-10 20:00:00;167.624;392.902;113.147;188.626
2019-04-10 21:00:00;167.339;392.226;113.590;188.751
2019-04-10 22:00:00;166.910;390.274;113.044;188.183
2019-04-10 23:00:00;167.080;391.099;112.979;188.145
2019-04-11 00:00:00;167.353;391.392;113.227;189.360
2019-04-11 01:00:00;167.147;389.974;112.888;188.499
2019-04-11 02:00:00;167.491;390.928;112.980;188.125
2019-04-11 03:00:00;167.043;390.587;112.813;188.398
2019-04-11 04:00:00;167.296;390.613;112.964;188.106
2019-04-11 05:00:00;167.345;391.747;113.499;187.937
2019-04-11 06:00:00;167.158;391.877;113.610;188.898
